"vernacularName";"scientificName";"individualCount";"longitudeDecimal";"latitudeDecimal";"eventDate";"year"
"European Roe Deer";"Capreolus capreolus";4;22.3984770477;53.170160505;2015-02-05;2015
"Eurasian Beaver";"Castor fiber";1;22.35;53.15;2015-02-05;2015
"Grey Partridge";"Perdix perdix";8;22.4534086883;53.2581788717;2015-02-05;2015
"Taiga Bean Goose ssp fabalis";"Anser fabalis fabalis";18;22.4534086883;53.2581788717;2015-02-05;2015
"Mink";"Mustela vison";1;22.4004511535;53.169645998;2015-02-05;2015
"Eurasian Otter";"Lutra lutra";2;22.4;53.15;2015-02-05;2015
"Eurasian Otter";"Lutra lutra";1;22.4;53.15;2015-02-05;2015
"Black Woodpecker";"Dryocopus martius";1;22.5834864378;53.3885482806;2015-02-05;2015
"European Roe Deer";"Capreolus capreolus";12;22.5834864378;53.3885482806;2015-02-05;2015
"Elk";"Alces alces";12;22.5834864378;53.3885482806;2015-02-05;2015
"Wild Boar";"Sus scrofa";2;22.5542744994;53.3926439364;2015-02-04;2015
"Elk";"Alces alces";3;22.5844869018;53.3779006112;2015-02-04;2015
"European Roe Deer";"Capreolus capreolus";15;22.5844869018;53.3779006112;2015-02-04;2015
"White-tailed Eagle";"Haliaeetus albicilla";1;22.8928792477;53.3458343419;2015-02-04;2015
"Hawfinch";"Coccothraustes coccothraustes";5;23.2231530547;53.1129863933;2015-02-04;2015
"Great Grey Shrike";"Lanius excubitor";1;23.6002930999;52.8103877457;2015-02-04;2015
"Great Spotted Woodpecker";"Dendrocopos major";1;23.5919098556;52.7382140659;2015-02-04;2015
"Eurasian Bullfinch";"Pyrrhula pyrrhula";4;23.5919098556;52.7382140659;2015-02-04;2015
"Western Jackdaw ssp monedula";"Coloeus monedula monedula";1;23.5912232101;52.7379802144;2015-02-04;2015
"Lesser Spotted Woodpecker";"Dryobates minor";1;23.7685212493;52.6999492729;2015-02-04;2015
"Eurasian Three-toed Woodpecker";"Picoides tridactylus";3;23.7685212493;52.6999492729;2015-02-04;2015
"Brown Hare";"Lepus europaeus";1;23.7675623596;52.802527505;2015-02-04;2015
"Red Fox";"Vulpes vulpes";1;23.75;52.8;2015-02-04;2015
"Eurasian Pygmy Owl";"Glaucidium passerinum";1;23.8;52.8;2015-02-04;2015
"Hazel Grouse";"Tetrastes bonasia";1;23.8;52.8;2015-02-04;2015
"Black Woodpecker";"Dryocopus martius";5;23.827572763;52.801878468;2015-02-04;2015
"White-backed Woodpecker";"Dendrocopos leucotos";3;23.8240537047;52.7990243739;2015-02-04;2015
"Red Deer";"Cervus elaphus";3;23.8280019164;52.801878468;2015-02-04;2015
"Common Kingfisher";"Alcedo atthis";1;23.8505753875;52.7013535868;2015-02-03;2015
"Eurasian Beaver";"Castor fiber";1;23.85;52.7;2015-02-03;2015
"Red Deer";"Cervus elaphus";3;23.8221077621;52.798972885;2015-02-03;2015
"Wild Boar";"Sus scrofa";4;23.8221077621;52.798972885;2015-02-03;2015
"Eurasian Pygmy Owl";"Glaucidium passerinum";1;23.8;52.8;2015-02-03;2015
"Bohemian Waxwing";"Bombycilla garrulus";16;23.7970022857;52.912576669;2015-02-03;2015
"White-tailed Eagle";"Haliaeetus albicilla";6;23.8659390807;52.9081247852;2015-02-03;2015
"Eurasian Tree Sparrow";"Passer montanus";1;23.7998058647;52.8297355711;2015-02-03;2015
"Eurasian Siskin";"Spinus spinus";1;23.7998058647;52.8297355711;2015-02-03;2015
"Grey-headed Woodpecker";"Picus canus";1;23.75;52.8;2015-02-03;2015
"Great Grey Shrike";"Lanius excubitor";1;23.8210777938;52.8519247821;2015-02-03;2015
"Bohemian Waxwing";"Bombycilla garrulus";56;23.8343527168;52.8675363191;2015-02-03;2015
"Bohemian Waxwing";"Bombycilla garrulus";33;23.8178517669;52.8803191787;2015-02-03;2015
"Rough-legged Buzzard";"Buteo lagopus";7;22.637103796;53.4833437869;2015-02-08;2015
"Elk";"Alces alces";4;22.7753743529;53.6590335312;2015-02-08;2015
"Yellowhammer";"Emberiza citrinella";1;22.7753743529;53.6590335312;2015-02-07;2015
"Elk";"Alces alces";2;22.7753743529;53.6590335312;2015-02-07;2015
"Rough-legged Buzzard";"Buteo lagopus";1;22.8602045774;53.5948465113;2015-02-07;2015
"Great Grey Shrike";"Lanius excubitor";1;22.8602045774;53.5948465113;2015-02-07;2015
"European Roe Deer";"Capreolus capreolus";4;22.8602045774;53.5948465113;2015-02-07;2015
"Red Fox";"Vulpes vulpes";1;22.75;53.65;2015-02-07;2015
"Yellowhammer";"Emberiza citrinella";1;22.774258554;53.6577619534;2015-02-06;2015
"Elk";"Alces alces";1;22.7764901519;53.6600507658;2015-02-06;2015
"Elk";"Alces alces";2;22.6226252317;53.4538142791;2015-02-06;2015
"Wild Boar";"Sus scrofa";1;22.5603121519;53.3663268206;2015-02-06;2015
"Great Grey Shrike";"Lanius excubitor";1;22.5616854429;53.3668389663;2015-02-06;2015
"White-tailed Eagle";"Haliaeetus albicilla";1;22.5728434324;53.3678632393;2015-02-06;2015
"Elk";"Alces alces";2;22.6000249386;53.3333300681;2015-02-06;2015
"European Roe Deer";"Capreolus capreolus";5;22.6000249386;53.3333300681;2015-02-06;2015
"Eurasian Beaver";"Castor fiber";2;22.6;53.3;2015-02-06;2015
"European Roe Deer";"Capreolus capreolus";4;22.3984770477;53.170160505;2015-02-05;2015
"Eurasian Beaver";"Castor fiber";1;22.35;53.15;2015-02-05;2015
"Grey Partridge";"Perdix perdix";8;22.4534086883;53.2581788717;2015-02-05;2015
"Taiga Bean Goose ssp fabalis";"Anser fabalis fabalis";18;22.4534086883;53.2581788717;2015-02-05;2015
"Mink";"Mustela vison";1;22.4004511535;53.169645998;2015-02-05;2015
"Eurasian Otter";"Lutra lutra";2;22.4;53.15;2015-02-05;2015
"Eurasian Beaver";"Castor fiber";1;22.6;53.3;2015-02-05;2015
"Mute Swan";"Cygnus olor";1;22.4095988274;53.2010907331;2015-02-05;2015
"Black Woodpecker";"Dryocopus martius";1;22.5834864378;53.3885482806;2015-02-05;2015
"European Roe Deer";"Capreolus capreolus";12;22.5834864378;53.3885482806;2015-02-05;2015
"Elk";"Alces alces";12;22.5834864378;53.3885482806;2015-02-05;2015
"Wild Boar";"Sus scrofa";2;22.5542744994;53.3926439364;2015-02-04;2015
